LRSN,PIN,curr_own_len,avg_own_len,PropClas,resOwner,ownerDistance
64980,W0190186007,4774.0,2520.0,115,1,0
14091,C0081063022,2013.0,5346.0,150,1,0
13133,C0080773016,1460.0,609.0,110,1,0
22454,E0000968023,1992.0,1921.0,170,0,3
47999,S0070913004,920.0,460.0,110,1,0
43081,S0000767011,420.0,2572.0,120,1,0
28373,N0000405002,12317.0,8258.0,171,1,0
62109,W0001587017,1228.0,3089.0,110,1,0
66927,W0200152018,2618.0,2117.0,120,1,0
1057,C0010879016,2970.0,3873.0,120,1,0
9210,C0060607080,4761.0,1666.0,110,1,0
45406,S0002488008,515.0,3349.0,115,1,0
67297,W0200195038,13282.0,5930.0,120,1,0
37659,N0002180034,6742.0,2538.0,120,1,0
12889,C0080714012,13547.0,8026.0,150,0,2
66894,W0200146001,3971.0,5421.0,120,1,0
54233,W0000615045,4981.0,2357.0,171,0,2
80705,E0001763215,2690.0,2690.0,212,0,3
78929,W0000016087,731.0,1313.0,212,0,4
31111,N0000846020,876.0,358.0,120,1,0
24568,E0100110001,5120.0,2015.0,120,1,0
23014,E0001238012,1627.0,6995.0,110,0,2
3658,C0040377026,793.0,968.0,150,0,2
29388,N0000587019,22848.0,22848.0,110,1,0
20266,E0000631018,13790.0,4871.0,110,1,0
33835,N0001153010,5516.0,2285.0,120,1,0
63084,W0001767028,1732.0,2901.0,120,1,0
38346,N0051182037,4581.0,2565.0,120,0,2
6711,C0050693002,1477.0,1374.0,115,1,0
63229,W0001777014,3465.0,3069.0,160,0,2
30027,N0000660008,9774.0,3711.0,161,1,0
49360,S0071633015,17294.0,17294.0,110,1,0
57240,W0001002024,2111.0,1876.0,120,1,0
